source_columns,destination_column,transformation,additional_remarks,ground_truth
BENE_FIPS_STATE_CD,pst,"Map
AR to Arkansas
CT to Connecticut
DC to District of Columbia
FL to Florida
GA to Georgia
HI to Hawaii
IA to Iowa
KS to Kansas
LA to Louisiana
MA to Massachusetts
NY to New York
OR to Oregon
PA to Pennsylvania
RI to Rhode Island
SC to South Carolina
TN to Tennessee
UT to Utah
VA to Virginia
VT to Vermont
WA to Washington",,"case when BENE_FIPS_STATE_CD= 'AR' then 'Arkansas'
when BENE_FIPS_STATE_CD = 'CT' then 'Connecticut'
when BENE_FIPS_STATE_CD = 'DC' then 'District of Columbia'
when BENE_FIPS_STATE_CD = 'FL' then 'Florida'
when BENE_FIPS_STATE_CD = 'GA' then 'Georgia'
when BENE_FIPS_STATE_CD = 'HI' then 'Hawaii'
when BENE_FIPS_STATE_CD = 'IA' then 'Iowa'
when BENE_FIPS_STATE_CD = 'KS' then 'Kansas'
when BENE_FIPS_STATE_CD = 'LA' then 'Louisiana'
when BENE_FIPS_STATE_CD = 'MA' then 'Massachusetts'
when BENE_FIPS_STATE_CD  = 'NY' then 'New York'
when BENE_FIPS_STATE_CD  = 'OR' then 'Oregon'
when BENE_FIPS_STATE_CD  = 'PA' then 'Pennsylvania'
when BENE_FIPS_STATE_CD  = 'RI' then 'Rhode Island'
when BENE_FIPS_STATE_CD  = 'SC' then 'South Carolina'
when BENE_FIPS_STATE_CD  = 'TN' then 'Tennessee'
when BENE_FIPS_STATE_CD  = 'UT' then 'Utah'
when BENE_FIPS_STATE_CD  = 'VA' then 'Virginia'
when BENE_FIPS_STATE_CD  = 'VT' then 'Vermont'
when BENE_FIPS_STATE_CD  = 'WA' then 'Washington'
end as pst"
CLM_LINE_NUM,clid,,,CLM_LINE_NUM as clid
ALPHA_CODE,ftst,Coalesce with '' to remove any NULL values,,"coalesce(ALPHA_CODE,'') as ftst"
BENE_PTNT_STUS_CD,drdn,"Mapper to be put here -
02=Discharged/transferred to other short term general hospital for inpatient care.
04=Discharged/transferred to intermediate care facility (ICF).
07=Left against medical advice or discontinued care.
30=Still patient
63=Discharged/transferred to a long term care hospitals. (eff. 1/2002)",,"case when BENE_PTNT_STUS_CD = '02' then 'Discharged/transferred to other short term general hospital for inpatient care.'
when BENE_PTNT_STUS_CD = '04' then 'Discharged/transferred to intermediate care facility (ICF).'
when BENE_PTNT_STUS_CD = '07' then 'Left against medical advice or discontinued care.'
when BENE_PTNT_STUS_CD = '30' then 'Still patient'
when BENE_PTNT_STUS_CD = '63' then 'Discharged/transferred to a long term care hospitals. (eff. 1/2002)' end as drdn"
CLM_FROM_DT,efdt,"Date should not be blank, or '1000-01-01' or '9999-12-31. Convert values to date in YYYY-MM-DD format",,"CASE WHEN CLM_FROM_DT NOT IN ('','1000-01-01','9999-12-31') THEN(TO_DATE(CLM_FROM_DT,'YYYY-MM-DD')) END AS  efdt
"
CLM_THRU_DT,eldt,Convert values to date in YYYY-MM-DD format if value is not '' or '1000-01-01' or '9999-12-31,,"CASE WHEN CLM_THRU_DT NOT IN ('','1000-01-01','9999-12-31') THEN (TO_DATE(CLM_THRU_DT,'YYYY-MM-DD')) END AS  eldt
"
CLM_LINE_FROM_DT,clsfdt,"Convert to date (YYYY-MM-DD). Date must not be in ('','1000-01-01','9999-12-31')",,"CASE WHEN CLM_FROM_DT NOT IN ('','1000-01-01','9999-12-31') THEN (TO_DATE(CLM_FROM_DT,'YYYY-MM-DD')) END AS  clsfdt
"
CLM_LINE_THRU_DT,clsldt,"Convert to date (YYYY-MM-DD). Date must not be in ('','1000-01-01','9999-12-31')",,"CASE WHEN CLM_LINE_THRU_DTNOT IN ('','1000-01-01','9999-12-31') THEN (TO_DATE(CLM_LINE_THRU_DT,'YYYY-MM-DD')) END AS  clsldt"
CLM_LINE_PROD_REV_CTR_CD,rcc,"Return an empty string if value is blank or '~', otherwise return the value of the column",,"case when CLM_LINE_PROD_REV_CTR_CD in ('~','') then '' else CLM_LINE_PROD_REV_CTR_CD end as rcc"
"CLM_LINE_PROD_REV_CTR_CD, CLM_LINE_HCPCS_CD",pc,"Return an empty string if value in CLM_LINE_PROD_REV_CTR_CD is either '~' or '0022', otherwise coalesce CLM_LINE_HCPCS_CD and ''",,"case when CLM_LINE_PROD_REV_CTR_CD in ('~','0022') THEN '' else coalesce(CLM_LINE_HCPCS_CD,'') end as pc"
