prompt,completion
"Write a SQL query for transforming BENE_FIPS_STATE_CD into pst, and apply the following transformation:
Map
AR to Arkansas
CT to Connecticut
DC to District of Columbia
FL to Florida
GA to Georgia
HI to Hawaii
IA to Iowa
KS to Kansas
LA to Louisiana
MA to Massachusetts
NY to New York
OR to Oregon
PA to Pennsylvania
RI to Rhode Island
SC to South Carolina
TN to Tennessee
UT to Utah
VA to Virginia
VT to Vermont
WA to Washington


The output query should be like - ""select <prediction here> from your_table;""

###

"," select case when BENE_FIPS_STATE_CD= 'AR' then 'Arkansas'
when BENE_FIPS_STATE_CD = 'CT' then 'Connecticut'
when BENE_FIPS_STATE_CD = 'DC' then 'District of Columbia'
when BENE_FIPS_STATE_CD = 'FL' then 'Florida'
when BENE_FIPS_STATE_CD = 'GA' then 'Georgia'
when BENE_FIPS_STATE_CD = 'HI' then 'Hawaii'
when BENE_FIPS_STATE_CD = 'IA' then 'Iowa'
when BENE_FIPS_STATE_CD = 'KS' then 'Kansas'
when BENE_FIPS_STATE_CD = 'LA' then 'Louisiana'
when BENE_FIPS_STATE_CD = 'MA' then 'Massachusetts'
when BENE_FIPS_STATE_CD  = 'NY' then 'New York'
when BENE_FIPS_STATE_CD  = 'OR' then 'Oregon'
when BENE_FIPS_STATE_CD  = 'PA' then 'Pennsylvania'
when BENE_FIPS_STATE_CD  = 'RI' then 'Rhode Island'
when BENE_FIPS_STATE_CD  = 'SC' then 'South Carolina'
when BENE_FIPS_STATE_CD  = 'TN' then 'Tennessee'
when BENE_FIPS_STATE_CD  = 'UT' then 'Utah'
when BENE_FIPS_STATE_CD  = 'VA' then 'Virginia'
when BENE_FIPS_STATE_CD  = 'VT' then 'Vermont'
when BENE_FIPS_STATE_CD  = 'WA' then 'Washington'
end as pst from your_table; ###"
"Write a SQL query for transforming CLM_LINE_NUM into clid, and apply the following transformation:
No transformation


The output query should be like - ""select <prediction here> from your_table;""

###

", select CLM_LINE_NUM as clid from your_table; ###
"Write a SQL query for transforming ALPHA_CODE into ftst, and apply the following transformation:
Coalesce with '' to remove any NULL values


The output query should be like - ""select <prediction here> from your_table;""

###

"," select coalesce(ALPHA_CODE,'') as ftst from your_table; ###"
"Write a SQL query for transforming BENE_PTNT_STUS_CD into drdn, and apply the following transformation:
Mapper to be put here -
02=Discharged/transferred to other short term general hospital for inpatient care.
04=Discharged/transferred to intermediate care facility (ICF).
07=Left against medical advice or discontinued care.
30=Still patient
63=Discharged/transferred to a long term care hospitals. (eff. 1/2002)


The output query should be like - ""select <prediction here> from your_table;""

###

"," select case when BENE_PTNT_STUS_CD = '02' then 'Discharged/transferred to other short term general hospital for inpatient care.'
when BENE_PTNT_STUS_CD = '04' then 'Discharged/transferred to intermediate care facility (ICF).'
when BENE_PTNT_STUS_CD = '07' then 'Left against medical advice or discontinued care.'
when BENE_PTNT_STUS_CD = '30' then 'Still patient'
when BENE_PTNT_STUS_CD = '63' then 'Discharged/transferred to a long term care hospitals. (eff. 1/2002)' end as drdn from your_table; ###"
"Write a SQL query for transforming CLM_FROM_DT into efdt, and apply the following transformation:
Date should not be blank, or '1000-01-01' or '9999-12-31. Convert values to date in YYYY-MM-DD format


The output query should be like - ""select <prediction here> from your_table;""

###

"," select CASE WHEN CLM_FROM_DT NOT IN ('','1000-01-01','9999-12-31') THEN(TO_DATE(CLM_FROM_DT,'YYYY-MM-DD')) END AS  efdt
 from your_table; ###"
"Write a SQL query for transforming CLM_THRU_DT into eldt, and apply the following transformation:
Convert values to date in YYYY-MM-DD format if value is not '' or '1000-01-01' or '9999-12-31


The output query should be like - ""select <prediction here> from your_table;""

###

"," select CASE WHEN CLM_THRU_DT NOT IN ('','1000-01-01','9999-12-31') THEN (TO_DATE(CLM_THRU_DT,'YYYY-MM-DD')) END AS  eldt
 from your_table; ###"
"Write a SQL query for transforming CLM_LINE_FROM_DT into clsfdt, and apply the following transformation:
Convert to date (YYYY-MM-DD). Date must not be in ('','1000-01-01','9999-12-31')


The output query should be like - ""select <prediction here> from your_table;""

###

"," select CASE WHEN CLM_FROM_DT NOT IN ('','1000-01-01','9999-12-31') THEN (TO_DATE(CLM_FROM_DT,'YYYY-MM-DD')) END AS  clsfdt
 from your_table; ###"
"Write a SQL query for transforming CLM_LINE_THRU_DT into clsldt, and apply the following transformation:
Convert to date (YYYY-MM-DD). Date must not be in ('','1000-01-01','9999-12-31')


The output query should be like - ""select <prediction here> from your_table;""

###

"," select CASE WHEN CLM_LINE_THRU_DTNOT IN ('','1000-01-01','9999-12-31') THEN (TO_DATE(CLM_LINE_THRU_DT,'YYYY-MM-DD')) END AS  clsldt from your_table; ###"
"Write a SQL query for transforming CLM_LINE_PROD_REV_CTR_CD into rcc, and apply the following transformation:
Return an empty string if value is blank or '~', otherwise return the value of the column


The output query should be like - ""select <prediction here> from your_table;""

###

"," select case when CLM_LINE_PROD_REV_CTR_CD in ('~','') then '' else CLM_LINE_PROD_REV_CTR_CD end as rcc from your_table; ###"
"Write a SQL query for transforming CLM_LINE_PROD_REV_CTR_CD, CLM_LINE_HCPCS_CD into pc, and apply the following transformation:
Return an empty string if value in CLM_LINE_PROD_REV_CTR_CD is either '~' or '0022', otherwise coalesce CLM_LINE_HCPCS_CD and ''


The output query should be like - ""select <prediction here> from your_table;""

###

"," select case when CLM_LINE_PROD_REV_CTR_CD in ('~','0022') THEN '' else coalesce(CLM_LINE_HCPCS_CD,'') end as pc from your_table; ###"
"Write a SQL query for transforming CLM_LINE_SRVC_UNIT_QTY into uqt, and apply the following transformation:
No transformation


The output query should be like - ""select <prediction here> from your_table;""

###

", select CLM_LINE_SRVC_UNIT_QTY as uqt from your_table; ###
"Write a SQL query for transforming CLM_LINE_CVRD_PD_AMT into catp, and apply the following transformation:
Typecast to numeric data with precision=18 and scale=2


The output query should be like - ""select <prediction here> from your_table;""

###

"," select cast (CLM_LINE_CVRD_PD_AMT as numeric(18,2)) as catp from your_table; ###"
"Write a SQL query for transforming HCPCS_1_MDFR_CD into pm1, and apply the following transformation:
If value is not '~' then remove Null value else return empty string


The output query should be like - ""select <prediction here> from your_table;""

###

"," select case when HCPCS_1_MDFR_CD in ('~','') then '' else coalesce(HCPCS_1_MDFR_CD,'') end as pm1 from your_table; ###"
"Write a SQL query for transforming HCPCS_2_MDFR_CD into pm2, and apply the following transformation:
If value is '~` then '' else remove null value


The output query should be like - ""select <prediction here> from your_table;""

###

"," select case when HCPCS_2_MDFR_CD in ('~','') then '' else coalesce(HCPCS_2_MDFR_CD,'') end as pm2 from your_table; ###"
"Write a SQL query for transforming HCPCS_3_MDFR_CD into pm3, and apply the following transformation:
Remove null if value is not '~' else return ''


The output query should be like - ""select <prediction here> from your_table;""

###

"," select case when HCPCS_3_MDFR_CD in ('~','') then '' else coalesce(HCPCS_3_MDFR_CD,'') end as pm3 from your_table; ###"
"Write a SQL query for transforming HCPCS_4_MDFR_CD into pm4, and apply the following transformation:
Return '' if value is '~' else remove null if exists


The output query should be like - ""select <prediction here> from your_table;""

###

"," select case when HCPCS_4_MDFR_CD in ('~','') then '' else coalesce(HCPCS_4_MDFR_CD,'') end as pm4 from your_table; ###"
